Date,Open,High,Low,Close,Adj Close,Volume
2012-02-27,0.300000,0.340000,0.300000,0.320000,0.320000,13677900
2012-03-05,0.310000,0.330000,0.290000,0.320000,0.320000,21818700
2012-03-12,0.320000,0.330000,0.300000,0.310000,0.310000,15547500
2012-03-19,0.320000,0.320000,0.300000,0.310000,0.310000,9816100
2012-03-26,0.310000,0.310000,0.290000,0.290000,0.290000,9918100
2012-04-02,0.290000,0.300000,0.270000,0.280000,0.280000,9715400
2012-04-09,0.270000,0.280000,0.260000,0.270000,0.270000,9163700
2012-04-16,0.270000,0.310000,0.270000,0.290000,0.290000,15903200
2012-04-23,0.280000,0.290000,0.270000,0.280000,0.280000,6058500
2012-04-30,0.280000,0.280000,0.270000,0.270000,0.270000,6563900
2012-05-07,0.260000,0.320000,0.260000,0.300000,0.300000,34509900
2012-05-14,0.290000,0.300000,0.260000,0.270000,0.270000,13508800
2012-05-21,0.270000,0.280000,0.260000,0.270000,0.270000,5586800
2012-05-28,0.280000,0.280000,0.260000,0.260000,0.260000,4526600
2012-06-04,0.260000,0.270000,0.260000,0.260000,0.260000,5071000
2012-06-11,0.260000,0.270000,0.260000,0.260000,0.260000,4102100
2012-06-18,0.260000,0.270000,0.260000,0.260000,0.260000,5053200
2012-06-25,0.260000,0.260000,0.250000,0.260000,0.260000,5044000
2012-07-02,0.260000,0.260000,0.250000,0.250000,0.250000,3401300
2012-07-09,0.240000,0.250000,0.240000,0.240000,0.240000,4723500
2012-07-16,0.240000,0.250000,0.240000,0.240000,0.240000,5711400
2012-07-23,0.240000,0.260000,0.220000,0.240000,0.240000,14620100
2012-07-30,0.230000,0.250000,0.230000,0.240000,0.240000,5419900
2012-08-06,0.240000,0.340000,0.240000,0.280000,0.280000,50663700
2012-08-13,0.280000,0.310000,0.200000,0.240000,0.240000,45949700
2012-08-20,0.240000,0.280000,0.220000,0.250000,0.250000,20703300
2012-08-27,0.250000,0.250000,0.230000,0.250000,0.250000,6537700
2012-09-03,0.240000,0.250000,0.240000,0.240000,0.240000,5834600
2012-09-10,0.250000,0.280000,0.240000,0.280000,0.280000,26737000
2012-09-17,0.290000,0.300000,0.260000,0.280000,0.280000,24457900
2012-09-24,0.280000,0.280000,0.270000,0.280000,0.280000,10299700
2012-10-01,0.280000,0.280000,0.270000,0.280000,0.280000,6518300
2012-10-08,0.280000,0.280000,0.270000,0.270000,0.270000,5203900
2012-10-15,0.270000,0.280000,0.270000,0.270000,0.270000,6085600
2012-10-22,0.270000,0.280000,0.270000,0.270000,0.270000,4668200
2012-10-29,0.260000,0.270000,0.260000,0.270000,0.270000,3684200
2012-11-05,0.270000,0.310000,0.270000,0.280000,0.280000,36926500
2012-11-12,0.280000,0.290000,0.270000,0.270000,0.270000,8352200
2012-11-19,0.270000,0.280000,0.270000,0.280000,0.280000,5115900
2012-11-26,0.280000,0.280000,0.270000,0.270000,0.270000,8583500
2012-12-03,0.270000,0.280000,0.270000,0.270000,0.270000,7239300
2012-12-10,0.270000,0.280000,0.270000,0.270000,0.270000,8647100
2012-12-17,0.270000,0.270000,0.250000,0.260000,0.260000,26471100
2012-12-24,0.260000,0.270000,0.250000,0.260000,0.260000,8787300
2012-12-31,0.250000,0.270000,0.250000,0.260000,0.260000,10559500
2013-01-07,0.280000,0.300000,0.280000,0.280000,0.280000,38798800
2013-01-14,0.280000,0.290000,0.270000,0.280000,0.280000,12924100
2013-01-21,0.280000,0.290000,0.270000,0.280000,0.280000,9938200
2013-01-28,0.280000,0.290000,0.280000,0.280000,0.280000,7576700
2013-02-04,0.290000,0.300000,0.280000,0.290000,0.290000,11132800
2013-02-11,0.290000,0.300000,0.290000,0.290000,0.290000,11847500
2013-02-18,0.300000,0.300000,0.280000,0.280000,0.280000,12178000
2013-02-25,0.280000,0.300000,0.280000,0.290000,0.290000,12331300
2013-03-04,0.300000,0.330000,0.280000,0.290000,0.290000,32430900
2013-03-11,0.290000,0.400000,0.290000,0.400000,0.400000,55474900
2013-03-18,0.400000,1.470000,0.090000,0.790000,0.790000,519308000
2013-03-25,0.810000,0.880000,0.090000,0.690000,0.690000,171877200
2013-04-01,0.730000,1.000000,0.720000,0.870000,0.870000,219550300
2013-04-08,0.890000,0.920000,0.680000,0.730000,0.730000,105582100
2013-04-15,0.720000,0.850000,0.720000,0.800000,0.800000,56355800
2013-04-22,0.820000,0.850000,0.780000,0.830000,0.830000,44190100
2013-04-29,0.820000,0.850000,0.800000,0.820000,0.820000,37751600
2013-05-06,0.830000,1.000000,0.810000,0.880000,0.880000,161646900
2013-05-13,0.890000,1.600000,0.890000,1.350000,1.350000,383295400
2013-05-20,1.400000,3.150000,1.360000,2.970000,2.970000,540827800
2013-05-27,3.540000,5.440000,1.300000,2.100000,2.100000,773160800
2013-06-03,2.500000,2.900000,1.760000,1.980000,1.980000,364265700
2013-06-10,1.870000,2.030000,1.450000,1.530000,1.530000,186310700
2013-06-17,1.560000,2.030000,1.550000,1.850000,1.850000,124791200
2013-06-24,1.820000,1.820000,1.010000,1.410000,1.410000,304146000
2013-07-01,1.460000,1.720000,1.450000,1.670000,1.670000,121910800
2013-07-08,1.720000,1.780000,1.360000,1.470000,1.470000,129307400
2013-07-15,1.490000,1.550000,1.350000,1.410000,1.410000,48508500
